retailer_code:1,Division,Brand,pallet_number,full_,jnumber,model_number,title,Qty,msrp,Total Cost,Retail,Total Retail,Margin %,Margin $,eBay Price,sku,box,condition,condition_notes,band_size,date_listed,repair,manifested,upc
,Watches,Misc Brand,Watches4,J439065-00167-01593,J439065,,PORSAMO BLEU WOMENS BELLEZZA FLOATING HEART WATCH W/ SWAROVSKI ELEMENTS PLUM WOMENS,1,$156.00,$312.00,,,,,,1039,,2,,8.25,,,X,
,Watches,Misc Brand,Watches4,J439065-09540-01593,J439065,,PORSAMO BLEU WOMENS BELLEZZA FLOATING HEART WATCH W/ SWAROVSKI ELEMENTS ROSETONE WOMENS,1,$156.00,$312.00,,,,,,1040,,2,,7,,,X,
,Watches,Misc Brand,Watches4,J436724-00466-01593,J436724,,PORSAMO BLEU WOMENS THE ISABEL SWISS PARTS STAINLESS BRACELET WATCH SILVERTONE WOMENS,1,$94.94,$94.94,,,,,,1041,,2,7,,,,X,
,Watches,Misc Brand,Watches4,J437704-06564-04168,J437704,,CONSTANTIN WEISZ MENS MECHANICAL TOURBILLON ALLIGATOR STRAP WATCH SILVERTONE / BLACK MENS,1,$670.22,2680.88,,,,,,1042,,2,,,,,X,
,Watches,Misc Brand,Watches4,J439065-00307-01593,J439065,,PORSAMO BLEU WOMENS BELLEZZA FLOATING HEART WATCH W/ SWAROVSKI ELEMENTS TWO-TONE WOMENS,1,$156.00,$312.00,,,,,,1043,no movement 1,missing stem and crown,,,,,X,
,Watches,Invicta,Watches4,J418216-00466-01593,J418216,,INVICTA WOMENS ANGEL 4PC STRAP SET SILVERTONE SIZE: WOMENS,1,$47.98,$47.98,,,,,,1044,,2,missing one band,,,,X,
,Watches,Invicta,Watches4,J431189-09540-01593,J431189,,INVICTA WOMENS ANGEL DIVER QUARTZ MOP DIAL 7PC STRAP SET ROSETONE WOMENS,1,$52.72,$52.72,,,,,,1045,no movement 1,dead battery,,,,,X,
,Watches,Invicta,Watches4,J431195-09540-01593,J431195,,"INVICTA WOMENS ANGEL""WINTER BLISS"" QUARTZ 5PC INTERCHANGEABLE STRAP SET ROSETONE WOMENS",1,$43.68,$131.04,,,,,,1046,,2,,,,,X,
,Watches,Invicta,Watches4,J431195-00465-01593,J431195,,"INVICTA WOMENS ANGEL""WINTER BLISS"" QUARTZ 5PC INTERCHANGEABLE STRAP SET GOLDTONE WOMENS",1,$43.68,$131.04,,,,,,1047,no movement 1,dead battery,,,,,X,
,Watches,Invicta,Watches4,J431195-00465-01593,J431195,,"INVICTA WOMENS ANGEL""WINTER BLISS"" QUARTZ 5PC INTERCHANGEABLE STRAP SET GOLDTONE WOMENS",1,$43.68,$131.04,,,,,,1048,,2 missing one band,,,,,X,
,Watches,Invicta,Watches4,J431195-09540-01593,J431195,,"INVICTA WOMENS ANGEL""WINTER BLISS"" QUARTZ 5PC INTERCHANGEABLE STRAP SET ROSETONE WOMENS",1,$43.68,$131.04,,,,,,1049,,2,scuffs on band,,,,X,
,Watches,Invicta,Watches4,J434644-00466-04168,J434644,,INVICTA MENS GRAND LUPAH QUARTZ MULTIFUNCTION 5PC STRAP SET SILVERTONE MENS,1,$102.50,$102.50,,,,,,1050,,2 missing one band,,,,,X,
,Watches,Invicta,Watches4,J431191-00465-01593,J431191,,INVICTA WOMENS ANGEL DIVER QUARTZ MOP DIAL 7PC STRAP SET GOLDTONE WOMENS,1,$58.39,$58.39,,,,,,1051,,2,missing two bands,,,,X,
,Watches,Invicta,Watches4,J428085-09540-04168,J428085,,INVICTA MENS LUPAH GRAND QUARTZ CHRONOGRAPH 5PC STRAP WATCH ROSETONE SIZE: MENS,1,$56.15,$56.15,,,,,,1052,,2,missing one band,,,,X,
,Watches,Invicta,Watches4,J176344-00465-01593,J176344,,STSTL WTCH INVICTA WOMENS BABY LUPAH QUARTZ GENUINE LEATHER STRAP SET GOLDTONE SIZE: WOMENS,1,$112.50,$337.50,,,,,,1053,,2,missing one band,,,,X,
,Watches,Invicta,Watches4,J418075-09540-01593,J418075,,INVICTA WOMENS BABY LUPAH QUARTZ WATCH 5 PC STRAP SET ROSETONE SIZE: WOMENS,1,$81.00,$81.00,,,,,,1054,,2,,,,,X,
,Watches,Android,Watches4,J172585-00003-00000,J172585,,WATCH TOOL KIT BLACK NO SIZE,1,$41.00,$41.00,,,,,,1055,,2,,,,,X,
,Watches,Misc Brand,Watches4,J437704-06564-04168,J437704,,CONSTANTIN WEISZ MENS MECHANICAL TOURBILLON ALLIGATOR STRAP WATCH SILVERTONE / BLACK MENS,1,$670.22,2680.88,,,,,,1056,,2,,,,,X,
,Watches,Misc Brand,Watches4,J439911-00003-04168,J439911,,MARATHON MENS MILITARY STERILE NAVIGATOR SWISS QUARTZ NYLON STRAP WATCH W/ BINO BLACK MENS,1,$199.84,$199.84,,,,,,1057,,2,,,,,X,
,Watches,Misc Brand,Watches4,J436639-09540-04168,J436639,,CONSTANTIN WEISZ MENS AUTOMATIC DOUBLE LAYER DIAL MESH BRACELET WATCH W/ 6 SLOT ROSETONE MENS,1,$89.77,$448.85,,,,,,1058,,2,,8.5,,,X,
,Watches,Invicta,Watches4,J440010-00465-01593,J440010,,INVICTA WOMENS ANGEL QUARTZ MULTIFUNCTION BRAIDED STAINLESS BRACELET WATCH GOLDTONE WOMENS,1,$128.75,$128.75,,,,,,1059,,2,,,,,X,
,Watches,Invicta,Watches4,J178163-00140-00000,J178163,,INVICTA WATCH TOOL KIT YELLOW NO SIZE,1,$66.00,$198.00,,,,,,1060,,,,,,,X,
,Watches,Invicta,Watches4,J178163-00140-00000,J178163,,INVICTA WATCH TOOL KIT YELLOW NO SIZE,1,$66.00,$198.00,,,,,,1061,no other,missing stuff,missing stuff,,,,X,
,Watches,Invicta,Watches4,J424805-00152-04168,J424805,,TTV INVICTA MENS GRAND LUPAH QUARTZ MULTIFUNCITON MOP 5-PIECE LEATHER STRAP SET GUNMETAL MENS,1,$127.00,$127.00,,,,,,1062,no other ,cracked crystal,,,,,X,
,Watches,Android,Watches4,J177957-00023-00241,J177957,,STSTL WTCH ANDROID HYDRAUMATIC SWISS CHRONOGRAPH STAINLESS STEEL BRACELET PURPLE GENTS,1,$138.75,$138.75,,,,,,1063,,2,scuffs on band,,,,X,
,Watches,Misc Brand,Watches4,J437704-06564-04168,J437704,,CONSTANTIN WEISZ MENS MECHANICAL TOURBILLON ALLIGATOR STRAP WATCH SILVERTONE / BLACK MENS,1,$670.22,2680.88,,,,,,1064,,2,,,,,X,
,Watches,Invicta,Watches4,J443003-00466-04168,J443003,,TTV INVICTA GRAND OR BABY LUPAH QUARTZ STAINLESS STEEL BRACELET WATCH SILVERTONE MENS,1,$59.98,$179.94,,,,,,1065,,2,,9.25,,,X,
,Watches,Misc Brand,Watches4,J438791-00021-01593,J438791,,PORSAMO BLEU WOMENS THE CELESTE MOP DIAL BRACELET WATCH PINK WOMENS,1,$147.50,$295.00,,,,,,1066,,2,,8,,,X,
,Watches,Invicta,Watches4,J407433-00004-00000,J407433,,INVICTA 3-SLOT COLLECTORS WATCH BOX WHITE NO SIZE,1,$39.25,$39.25,,,,,,1067,,2,scuffs on box,,,,X,
,Watches,Misc Brand,Watches4,J439065-00167-01593,J439065,,PORSAMO BLEU WOMENS BELLEZZA FLOATING HEART WATCH W/ SWAROVSKI ELEMENTS PLUM WOMENS,1,$156.00,$312.00,,,,,,1068,,2,,8.5,,,X,
,Watches,Misc Brand,Watches4,J436635-00009-04168,J436635,,CONSTANTIN WEISZ MENS AUTOMATIC DIVER MESH BRACELET WATCH IN DISPLAY CASE GREEN MENS,1,$88.37,$176.74,,,,,,1069,no movement 1,stem and crown,,,,,X,
,Watches,Android,Watches4,J441955-00466-04168,J441955,,ANDROID MENS FLYING 3D DRAGON MOP AUTOMATIC GENUINE LEATHER STRAP WATCH SILVERTONE MENS,1,$236.75,$236.75,,,,,,1070,,2,,,,,X,
,Watches,Invicta,Watches4,J422458-00466-01593,J422458,,INVICTA WOMENS ANGEL QUARTZ MOP DIAL 5PC STRAP WATCH SILVERTONE SIZE: WOMENS,1,$99.50,$99.50,,,,,,1071,,2,missing 2 bands,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J438784-00466-04168,J438784,,ADEE KAYE MENS COMBAT QUARTZ CHRONOGRAPH STAINLESS STEEL RUBBER STRAP WATCH SILVERTONE MENS,1,$86.48,$86.48,,,,,,1072,,2,,,,,X,
,Watches,Misc Brand,Watches4,J436636-00465-04168,J436636,,CONSTANTIN WEISZ MENS AUTOMATIC OPEN HEART LEATHER STRAP WATCH GOLDTONE MENS,1,$82.63,$82.63,,,,,,1073,no movement 1,doesnt tic,escapement stuck,,,,X,
,Watches,Invicta,Watches4,J442984-32121-04168,J442984,,TTV INVICTA 45MM DIVER SPECIAL EDITION QUARTZ POLYURETHANE STRAP WATCH BLACK/BLACK MENS,1,$29.88,$59.76,,,,,,1074,,2,,,,,X,
,Watches,Invicta,Watches4,J434645-00152-04168,J434645,,INVICTA MENS GRAND LUPAH QUARTZ 5PC LEATHER STRAP SET GUNMETAL MENS,1,$102.50,$307.50,,,,,,1075,,2,,,,,X,
,Watches,Invicta,Watches4,J434645-00152-04168,J434645,,INVICTA MENS GRAND LUPAH QUARTZ 5PC LEATHER STRAP SET GUNMETAL MENS,1,$102.50,$307.50,,,,,,1076,,2,missing one band,,,,X,
,Watches,Invicta,Watches4,J434645-00152-04168,J434645,,INVICTA MENS GRAND LUPAH QUARTZ 5PC LEATHER STRAP SET GUNMETAL MENS,1,$102.50,$307.50,,,,,,1077,,2,missing one band,,,,X,
,Watches,Invicta,Watches4,J442984-32026-04168,J442984,,TTV INVICTA 45MM DIVER SPECIAL EDITION QUARTZ POLYURETHANE STRAP WATCH RED/BLACK MENS,1,$29.88,$59.76,,,,,,1078,no other 1,cracked crystal,,,,,X,
,Watches,Invicta,Watches4,J434645-00466-04168,J434645,,INVICTA MENS GRAND LUPAH QUARTZ 5PC LEATHER STRAP SET SILVERTONE MENS,1,$102.50,$102.50,,,,,,1079,,2,,,,,X,
,Watches,Invicta,Watches4,J412945-00466-01593,J412945,,INVICTA WOMENS WILDFLOWER QUARTZ CHRONO MOP DIAL 7PC STRAP SET SILVERTONE WOMENS,1,$137.50,$137.50,,,,,,1080,no movement 1,chrono does not work,chrono does not work,,,,X,
,Watches,Invicta,Watches4,J438267-00466-01593,J438267,,INVICTA WOMENS ANGEL QUARTZ SQUARE  CASE 4PC LEATHER STRAP SET SILVERTONE WOMENS,1,$80.00,$80.00,,,,,,1081,,2,,,,,X,
,Watches,Invicta,Watches4,J431195-09540-01593,J431195,,"INVICTA WOMENS ANGEL""WINTER BLISS"" QUARTZ 5PC INTERCHANGEABLE STRAP SET ROSETONE WOMENS",1,$43.68,$131.04,,,,,,1082,no movement 1,dead battery,dead battery,,,,X,
,Watches,Invicta,Watches4,J442984-32026-04168,J442984,,TTV INVICTA 45MM DIVER SPECIAL EDITION QUARTZ POLYURETHANE STRAP WATCH RED/BLACK MENS,1,$29.88,$59.76,,,,,,1083,,2,,,,,X,
,Watches,Android,Watches4,J437566-00023-01593,J437566,,ANDROID WOMENS PARIS SWISS QUARTZ BRACELET WATCH W/RED 3-SLOT CASE PURPLE WOMENS,1,$89.00,$89.00,,,,,,1084,,2,,5.75,,,X,
,Jewelry,Brilliante,Watches4,J422203-09540-00000,J422203,,TYCOON STAINLESS/CHOICE TYCOON CUT WATCH ROSETONE NO SIZE,1,$98.52,$98.52,,,,,,1085,no other 1,this watch sucks,,,,,X,
,Watches,Invicta,Watches4,J429924-00003-04168,J429924,,INVICTA RESERVE MENS VENOM DIGITAL BRACELET WATCH W/ EXTRA PU & TOOL BLACK MENS,1,$314.14,1570.7,,,,,,1086,no band 1,missing lug pins,dead battery CR2016,,,,X,
,Watches,Android,Watches4,J432702-00003-04168,J432702,,ANDROID MENS HYDRAUMATIC LIMITED EDITION AUTOMATIC CUFF WATCH BLACK MENS,1,$250.00,$250.00,,,,,,1087,,2,,,,,X,
,Watches,Invicta,Watches4,J410159-00465-04168,J410159,,INVICTA RESERVE MENS BOLT ZEUS SWISS CHRONOGRAPH  BRACELET WATCH GOLDTONE MENS,1,$376.57,$376.57,,,,,,1088,,2, chrono does not reset to zero,7.5,,,X,
,Watches,Misc Brand,Watches4,J433419-00007-01593,J433419,,CLARA WOMENS CRYSTAL ACCENTED GEMSTONE DIAL QUARTZ STRAP WATCH BROWN WOMENS,1,$91.00,$91.00,,,,,,1089,no movement 1,stem and crown missing,,,,,X,
,Watches,Misc Brand,Watches4,J436639-09540-04168,J436639,,CONSTANTIN WEISZ MENS AUTOMATIC DOUBLE LAYER DIAL MESH BRACELET WATCH W/ 6 SLOT ROSETONE MENS,1,$89.77,$448.85,,,,,,1090,,2,,8.25,,,X,
,Watches,Misc Brand,Watches4,J436635-00009-04168,J436635,,CONSTANTIN WEISZ MENS AUTOMATIC DIVER MESH BRACELET WATCH IN DISPLAY CASE GREEN MENS,1,$88.37,$176.74,,,,,,1091,,2,,8.75,,,X,
,Watches,Android,Watches4,J442465-00005-04168,J442465,,ANDROID MENS TIME MACHINE AUTOMATIC SPINNING ROTOR BRACELET WATCH RED MENS,1,$249.76,$249.76,,,,,,1092,,2,,8.75,,,X,
,Watches,Misc Brand,Watches4,J436639-09540-04168,J436639,,CONSTANTIN WEISZ MENS AUTOMATIC DOUBLE LAYER DIAL MESH BRACELET WATCH W/ 6 SLOT ROSETONE MENS,1,$89.77,$448.85,,,,,,1093,,2,,8.5,,,X,
,Watches,Invicta,Watches4,J427964-00465-04168,J427964,,IMPERIOUS MENS CHAOS SWISS QUARTZ CHRONO STAINLESS STEEL BRACELET WATCH GOLDTONE MENS,1,$399.33,$399.33,,,,,,1094,no band 1,missing lug pin  ,,,,,X,
